,Phrase
0,"Foul tarnished, in search of the Elden Ring. Emboldened by the flame of ambition. Someone must extinguish thy flame. Let it be Margit the Fell!"
1,"I shall remember thee, Tarnished. Smouldering with thy meagre flame. Cower in Fear. Of the Night. The hands of the Fell Omen shall brook thee no quarter."
2,"Tarnished, thou'rt but a fool. The Erdtree wards off all who deign approach. We are... we are all forsaken. None may claim the title of Elden Lord. Thy deeds shall be met with failure, just as I."
3,"Mighty Dragon, thou'rt a trueborn heir. Lend me thy strength, o kindred. Deliver me unto greater heights... Well. A lowly Tarnished, playing as a lord. I command thee, kneel! I am the lord of all that is golden!"
4,"Ahh, truest of dragons. Lend me thy strength! Nnngh! Forefathers, one and all! Bear witness!"
5,"...I am Lord of all that is Golden.... ...And one day, we'll return together... ...To our home, bathed in rays of gold"
6,"Hush, little culver. I'll soon birth thee anew, a sweeting fresh and pure..."
7,"Ahh, my beloved... Have no fear, I will hold thee. Patience. Ye will be countless born, forever and ever."
8,"Upon my name as Ranni the Witch. Mother's rich slumber shall not be disturbed by thee. Foul trespasser. Send word far and wide. Of the last Queen of Caria, Rennala of the Full Moon. And the majesty of the night she conjureth."
9,"Those of the Eternal City have created a special type of Silver Tear, capable of completely mimicking its opponent, along with any spells, skills and armaments they have."
10,"The Red Lion General wielded gravitational powers which he learned in Sellia during his younger days. All so he would never have to abandon his beloved but scrawny steed."
11,"Lord brother. I'm going to be a god. If we honour our part of the vow, promise me you'll be my consort. I'll make the world a gentler place. If you have known sin, if you grieve for this world, then yield the path forward to us."
12,"General Radahn, the famed Red Lion and scourge of the stars, is a ferocious warrior. He fought Malenia and her rot to a standstill in the Caelid Wilds to Limgrave's east. And now Caelid has been engulfed by the scarlet rot, even approaching the region is no mean feat. I've heard survivors of Radahn's army are still in the wilds, staving off the rot with fire. And if it's true, I suspect Radahn is still there as well, in Caelid. Though I doubt he much resembles his former self anymore"
13,"Kindly Miquella spoke... of the vow he once made with General Radahn. And... it is here the vow shall be honored. As the festival of war concluded, General Radahn's soul met an honorable end. But Kindly Miquella wishes to revive it."
14,"My name is Irina. I've escaped from Castle Morne, to the south. The servants there... have rebelled. I-I can't be sure what it is; my eyesight's been weak since birth you see... But I swear I heard frightful howling from all over."
15,"It's said these land-bound dragons were once human heroes who partook in dragon communion, a grave transgression for which they were cursed to crawl the earth upon their bellies, shadows of their former selves."
16,"Ancestral spirits exist as a phenomenon beyond the purview of the Erdtree. Life sprouts from death, as it does from birth. Such is the way of the living."
17,"The Dragonkin were born in the Eternal City, where they knew no true sky, nor true lightning. Instead, ice lightning was their weapon."
